ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol,Column1,,,AAA,,,
2025-10-01T00:00:00.000000000Z,35,85,31005527,1.11,1.11,1.11,1.11,150,TFO  56  31005527,TFO  56,,,TFO  63,,,
2025-10-01T00:00:00.000000000Z,35,85,31005491,0.06,0.06,0.06,0.06,300,TFO   6  31005491,TFO   6,,,TFO  64,,,
2025-10-01T00:00:00.000000000Z,35,58,108086390,0.715,0.73,0.715,0.73,200,TFO FQF0026.H0026_OQCE0000045002122,TFO FQF,,,TFO  65,,,
2025-10-01T00:00:00.000000000Z,35,58,108279401,0.085,0.085,0.085,0.085,1000,TFO FMX0025_OMPE0000025002102725,TFO FMX,,,TFO  66,,,
2025-10-01T00:00:00.000000000Z,35,58,107880263,0.565,0.565,0.565,0.565,250,TFO FMF0026_OMCE0000045002122425,TFO FMF,,,TFO  68,,,
2025-10-01T00:00:00.000000000Z,35,58,108599680,1.59,1.6,1.59,1.6,1800,TFO FMZ0025_OMCE0000032002112625,TFO FMZ,,,TFO  69,,,
2025-10-01T00:00:00.000000000Z,35,85,108585406,0.51,0.6,0.505,0.6,130,TFO FMX0025_OMCE0000033002102725,TFO FMX,,,TFO  70,,,
2025-10-01T00:00:00.000000000Z,35,85,31005646,0.52,0.52,0.52,0.52,1000,TFO  66  31005646,TFO  66,,,TFO  71,,,
2025-10-01T00:00:00.000000000Z,35,58,108482008,,,,,25,TFO FMG0027_OMCE0000045002012727,TFO FMG,,,TFO  72,,,
2025-10-01T00:00:00.000000000Z,35,58,108215152,1.69,1.69,1.69,1.69,200,TFO FMX0025_OMCE0000030002102725,TFO FMX,,,TFO  73,,,
2025-10-01T00:00:00.000000000Z,35,58,108643813,,,,,100,TFO FMG0026_OMPE0000027002012726,TFO FMG,,,TFO  74,,,
2025-10-01T00:00:00.000000000Z,35,58,108280823,,,,,1000,TFO FMN0026_OMPE0000024002062626,TFO FMN,,,TFO  75,,,
2025-10-01T00:00:00.000000000Z,35,58,108482184,,,,,25,TFO FMZ0026_OMCE0000045002112626,TFO FMZ,,,TFO  76,,,
2025-10-01T00:00:00.000000000Z,35,85,31001755,0.43,0.43,0.43,0.43,500,TFO  75  31001755,TFO  75,,,TFO  77,,,
2025-10-01T00:00:00.000000000Z,35,58,107914285,,,,,950,TFO FMG0026_OMCE0000050002012726,TFO FMG,,,TFO FMF,,,
2025-10-01T00:00:00.000000000Z,35,58,108564113,,,,,540,TFO FMQ0026_OMPE0000025002072726,TFO FMQ,,,TFO FMG,,,
2025-10-01T00:00:00.000000000Z,35,58,108482144,,,,,25,TFO FMX0026_OMCE0000045002102726,TFO FMX,,,TFO FMH,,,
2025-10-01T00:00:00.000000000Z,35,85,31005392,0.2,0.2,0.2,0.2,150,TFO  76  31005392,TFO  76,,,TFO FMJ,,,
2025-10-01T00:00:00.000000000Z,35,58,108215811,,,,,1120,TFO FMM0026_OMPE0000030002052726,TFO FMM,,,TFO FMK,,,
2025-10-01T00:00:00.000000000Z,35,85,31005517,0.05,0.05,0.05,0.05,2000,TFO  60  31005517,TFO  60,,,TFO FMM,,,
