ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2023-03-20T00:00:00.000000000Z,35,85,105296903,14.280000000,14.280000000,14.280000000,14.280000000,14,TFO FMG0024_OMCE0000050002012624
2023-03-20T00:00:00.000000000Z,35,58,104904300,,,,,450,TFO FMQ0023_OMPE0000040002072723
2023-03-20T00:00:00.000000000Z,35,58,105434831,,,,,150,TFO FMK0023_OMCE0000100002042623
2023-03-20T00:00:00.000000000Z,35,58,104585438,5.300000000,5.300000000,5.300000000,5.300000000,15,TFO FSV0023.H0024_OSPE0000035002092
2023-03-20T00:00:00.000000000Z,35,58,105434837,,,,,275,TFO FMQ0023_OMCE0000100002072723
2023-03-20T00:00:00.000000000Z,35,58,104932434,,,,,400,TFO FMJ0023_OMPE0000055002032723
2023-03-20T00:00:00.000000000Z,35,58,103396848,,,,,100,TFO FMQ0023_OMPE0000025002072723
2023-03-20T00:00:00.000000000Z,35,58,103861008,0.250000000,0.250000000,0.250000000,0.250000000,300,TFO FMK0023_OMPE0000027002042623
2023-03-20T00:00:00.000000000Z,35,58,105049455,2.350000000,2.350000000,2.350000000,2.350000000,150,TFO FMK0023_OMCE0000050002042623
2023-03-20T00:00:00.000000000Z,35,85,106941687,5.800000000,5.800000000,5.800000000,5.800000000,14,TFO FMZ0024_OMCE0000100002112624
2023-03-20T00:00:00.000000000Z,35,58,106750242,,,,,25,TFO FMZ0023_OMCE0000125002112423
2023-03-20T00:00:00.000000000Z,35,58,104932444,,,,,520,TFO FMU0023_OMPE0000055002082523
2023-03-20T00:00:00.000000000Z,35,58,105982047,,,,,10,TFO FMF0024_OMCE0000075002122723
2023-03-20T00:00:00.000000000Z,35,85,105449835,14.280000000,14.280000000,14.280000000,14.280000000,14,TFO FMN0024_OMCE0000050002062624
2023-03-20T00:00:00.000000000Z,35,85,30571857,2.950000000,2.950000000,2.950000000,2.950000000,100,TFO  56  30571857
2023-03-20T00:00:00.000000000Z,35,58,106678318,,,,,100,TFO FMX0023_OMCE0000100002102723
2023-03-20T00:00:00.000000000Z,35,58,104957181,7.980000000,7.980000000,7.980000000,7.980000000,114,TFO FMQ0023_OMCE0000045002072723
2023-03-20T00:00:00.000000000Z,35,58,105505433,,,,,125,TFO FMQ0023_OMCE0000070002072723
2023-03-20T00:00:00.000000000Z,35,85,30571864,0.625000000,0.625000000,0.625000000,0.625000000,500,TFO  56  30571864
2023-03-20T00:00:00.000000000Z,35,58,106762246,,,,,100,TFO FMV0023_OMCE0000130002092623
2023-03-20T00:00:00.000000000Z,35,85,30571592,0.500000000,0.500000000,0.500000000,0.500000000,30,TFO  56  30571592
2023-03-20T00:00:00.000000000Z,35,58,105292998,,,,,200,TFO FMJ0023_OMPE0000075002032723
2023-03-20T00:00:00.000000000Z,35,58,105425087,,,,,100,TFO FMH0024_OMCE0000065002022324
2023-03-20T00:00:00.000000000Z,35,58,104519056,1.100000000,1.100000000,1.100000000,1.100000000,300,TFO FMJ0023_OMPE0000037002032723
2023-03-20T00:00:00.000000000Z,35,58,104932442,,,,,520,TFO FMQ0023_OMPE0000055002072723
2023-03-20T00:00:00.000000000Z,35,85,106941697,5.800000000,5.800000000,5.800000000,5.800000000,14,TFO FMX0024_OMCE0000100002102524
2023-03-20T00:00:00.000000000Z,35,85,30571673,0.725000000,0.725000000,0.725000000,0.725000000,150,TFO  66  30571673
2023-03-20T00:00:00.000000000Z,35,58,105434833,,,,,150,TFO FMM0023_OMCE0000100002052623
2023-03-20T00:00:00.000000000Z,35,58,105049448,10.300000000,10.400000000,10.300000000,10.400000000,975,TFO FMJ0023_OMPE0000050002032723
2023-03-20T00:00:00.000000000Z,35,85,30571361,1.800000000,1.800000000,1.800000000,1.800000000,100,TFO  47  30571361
2023-03-20T00:00:00.000000000Z,35,58,103396840,,,,,100,TFO FMJ0023_OMPE0000025002032723
2023-03-20T00:00:00.000000000Z,35,58,104963677,7.000000000,7.000000000,7.000000000,7.000000000,100,TFO FQN0023.U0023_OQCE0000045002062
2023-03-20T00:00:00.000000000Z,35,58,105449615,,,,,50,TFO FMU0023_OMCE0000080002082523
2023-03-20T00:00:00.000000000Z,35,58,105434841,0.800000000,0.800000000,0.800000000,0.800000000,150,TFO FSJ0023.U0023_OSCE0000100002032
